,short_name,strength_overall_home,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
0,ARS,1245,1250,1250,1240,1320
1,AVL,1070,1070,1075,1070,1130
2,BOU,1035,1020,1110,1050,1080
3,BRE,1115,1100,1160,1130,1200
4,BHA,1170,1140,1150,1200,1200
5,CHE,1165,1190,1220,1140,1220
6,CRY,1085,1110,1110,1060,1090
7,EVE,1055,1070,1100,1040,1090
8,FUL,1095,1070,1065,1120,1140
9,LEI,1130,1065,1110,1200,1120
10,LEE,1100,1070,1075,1130,1120
11,LIV,1220,1180,1250,1260,1300
12,MCI,1350,1340,1340,1360,1380
13,MUN,1155,1140,1220,1165,1220
14,NEW,1210,1250,1300,1165,1220
15,NFO,1050,1065,1100,1030,1105
16,SOU,1065,1070,1070,1060,1080
17,TOT,1155,1140,1210,1170,1230
18,WHU,1100,1145,1150,1060,1110
19,WOL,1080,1100,1100,1060,1080
