name,fixture,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,team,opponent_team
Folarin Balogun,2,0,True,2023-08-12T12:00:00Z,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,59090,0,0,Arsenal,Nott'm Forest
Folarin Balogun,215,0,False,2024-01-30T19:30:00Z,1.0,2.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-211,19951,0,211,Arsenal,Nott'm Forest
Folarin Balogun,12,0,False,2023-08-21T19:00:00Z,0.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-4744,63768,4959,9703,Arsenal,Crystal Palace
Folarin Balogun,201,0,True,2024-01-20T12:30:00Z,5.0,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-518,20133,0,518,Arsenal,Crystal Palace
Folarin Balogun,21,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-7682,58109,2507,10189,Arsenal,Fulham
Folarin Balogun,193,0,False,2023-12-31T14:00:00Z,2.0,1.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-293,20672,0,293,Arsenal,Fulham
Folarin Balogun,31,0,True,2023-09-03T15:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-9696,49814,2558,12254,Arsenal,Man Utd
Folarin Balogun,43,0,False,2023-09-17T15:30:00Z,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-12786,37048,0,12786,Arsenal,Everton
Folarin Balogun,51,0,True,2023-09-24T13:00:00Z,2.0,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-4527,32878,0,4527,Arsenal,Spurs
Folarin Balogun,62,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-3132,29679,0,3132,Arsenal,Bournemouth
Folarin Balogun,71,0,True,2023-10-08T15:30:00Z,1.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-2349,27390,0,2349,Arsenal,Man City
Folarin Balogun,84,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1453,26039,0,1453,Arsenal,Chelsea
Folarin Balogun,91,0,True,2023-10-28T14:00:00Z,5.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1085,24948,0,1085,Arsenal,Sheffield Utd
Folarin Balogun,107,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-809,24152,0,809,Arsenal,Newcastle
Folarin Balogun,111,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-729,23422,0,729,Arsenal,Burnley
