first_name,second_name,web_name,id,team,element_type
Folarin,Balogun,Balogun,1,Arsenal,FWD
Cédric,Alves Soares,Cédric,2,Arsenal,DEF
Mohamed,Elneny,M.Elneny,3,Arsenal,MID
Fábio,Ferreira Vieira,Fábio Vieira,4,Arsenal,MID
Gabriel,dos Santos Magalhães,Gabriel,5,Arsenal,DEF
Kai,Havertz,Havertz,6,Arsenal,MID
Gabriel,Fernando de Jesus,G.Jesus,8,Arsenal,FWD
Jorge Luiz,Frello Filho,Jorginho,9,Arsenal,MID
Jakub,Kiwior,Kiwior,10,Arsenal,DEF
Marcus,Oliveira Alencar,Marquinhos,11,Arsenal,MID
Gabriel,Martinelli Silva,Martinelli,12,Arsenal,MID
Eddie,Nketiah,Nketiah,13,Arsenal,FWD
Martin,Ødegaard,Ødegaard,14,Arsenal,MID
Thomas,Partey,Thomas,15,Arsenal,MID
Nicolas,Pépé,Pepe,16,Arsenal,MID
Aaron,Ramsdale,Ramsdale,17,Arsenal,GLK
Rúnar Alex,Rúnarsson,Rúnarsson,18,Arsenal,GLK
Bukayo,Saka,Saka,19,Arsenal,MID
William,Saliba,Saliba,20,Arsenal,DEF
Emile,Smith Rowe,Smith Rowe,22,Arsenal,MID
Kieran,Tierney,Tierney,24,Arsenal,DEF
Takehiro,Tomiyasu,Tomiyasu,25,Arsenal,DEF
Leandro,Trossard,Trossard,26,Arsenal,MID
Benjamin,White,White,29,Arsenal,DEF
Granit,Xhaka,Xhaka,30,Arsenal,MID
Oleksandr,Zinchenko,Zinchenko,31,Arsenal,DEF
David,Raya Martin,Raya,113,Arsenal,GLK
Declan,Rice,Rice,540,Arsenal,MID
Reiss,Nelson,Nelson,578,Arsenal,MID
Jurriën,Timber,J.Timber,585,Arsenal,DEF
Karl,Hein,Hein,646,Arsenal,GLK
Charles,Sagoe,Sagoe,735,Arsenal,MID
Reuell,Walters,Walters,736,Arsenal,DEF
Bradley,Ibrahim,Ibrahim,737,Arsenal,MID
Myles,Lewis-Skelly,Lewis-Skelly,764,Arsenal,MID
Ethan,Nwaneri,Nwaneri,772,Arsenal,MID
Mauro,Bandeira,Bandeira,815,Arsenal,MID
James,Sweet,Sweet,817,Arsenal,DEF
Alexandre,Moreno Lopera,Alex Moreno,32,Aston Villa,DEF
Leon,Bailey,Bailey,34,Aston Villa,MID
Emiliano,Buendía Stati,Buendia,35,Aston Villa,MID
Matty,Cash,Cash,36,Aston Villa,DEF
Calum,Chambers,Chambers,37,Aston Villa,DEF
Philippe,Coutinho Correia,Coutinho,38,Aston Villa,MID
Keinan,Davis,Davis,39,Aston Villa,FWD
Leander,Dendoncker,Dendoncker,40,Aston Villa,MID
Diego Carlos,Santos Silva,Diego Carlos,41,Aston Villa,DEF
Lucas,Digne,Digne,42,Aston Villa,DEF
Douglas Luiz,Soares de Paulo,Douglas Luiz,43,Aston Villa,MID
Jhon,Durán,Duran,44,Aston Villa,FWD
Kortney,Hause,Hause,45,Aston Villa,DEF
Tim,Iroegbunam,Iroegbunam,46,Aston Villa,MID
Boubacar,Kamara,Kamara,47,Aston Villa,MID
Ezri,Konsa Ngoyo,Konsa,48,Aston Villa,DEF
