name,strength_overall_away,strength_attack_away,attack_overall,strength_attack_home,strength_overall_home,strength_defence_home,defence_overall,strength_defence_away
Arsenal,1285,1250,1250.0,1250,1230,1210,1265.0,1320
Aston Villa,1175,1190,1160.0,1130,1115,1100,1130.0,1160
Bournemouth,1095,1100,1075.0,1050,1060,1060,1075.0,1090
Brentford,1205,1220,1170.0,1120,1125,1130,1160.0,1190
Brighton,1210,1200,1160.0,1120,1165,1210,1225.0,1240
Burnley,1080,1080,1070.0,1060,1060,1060,1070.0,1080
Chelsea,1160,1210,1170.0,1130,1115,1100,1105.0,1110
Crystal Palace,1100,1170,1155.0,1140,1100,1080,1082.0,1085
Everton,1100,1120,1095.0,1070,1075,1080,1080.0,1080
Fulham,1100,1090,1090.0,1090,1095,1100,1120.0,1140
Liverpool,1285,1270,1220.0,1170,1220,1260,1280.0,1300
Luton,1050,1050,1050.0,1050,1045,1040,1045.0,1050
Man City,1355,1340,1330.0,1320,1350,1320,1345.0,1370
Man Utd,1275,1310,1230.0,1150,1145,1140,1190.0,1240
Newcastle,1280,1310,1280.0,1250,1220,1190,1220.0,1250
Nott'm Forest,1100,1110,1080.0,1050,1050,1050,1085.0,1120
Sheffield Utd,1070,1060,1055.0,1050,1045,1040,1060.0,1080
Spurs,1200,1200,1155.0,1110,1130,1150,1175.0,1200
West Ham,1140,1150,1125.0,1100,1095,1090,1110.0,1130
Wolves,1100,1160,1115.0,1070,1065,1060,1070.0,1080
