Player,unique_player_id,extension,Link
Kevin De Bruyne,e46012d4,Kevin-De-Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
Erling Haaland,1f44ac21,Erling-Haaland,https://fbref.com/en/players/1f44ac21/Erling-Haaland
Casemiro,4d224fe8,Casemiro,https://fbref.com/en/players/4d224fe8/Casemiro
Mohamed Salah,e342ad68,Mohamed-Salah,https://fbref.com/en/players/e342ad68/Mohamed-Salah
Raphaël Varane,9f8e9423,Raphael-Varane,https://fbref.com/en/players/9f8e9423/Raphael-Varane
Raheem Sterling,b400bde0,Raheem-Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling
Marcus Rashford,a1d5bd30,Marcus-Rashford,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Bernardo Silva,3eb22ec9,Bernardo-Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
Jack Grealish,b0b4fd3e,Jack-Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
Kai Havertz,fed7cb61,Kai-Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz
Gabriel Jesus,b66315ae,Gabriel-Jesus,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
Anthony Martial,8b788c01,Anthony-Martial,https://fbref.com/en/players/8b788c01/Anthony-Martial
Jadon Sancho,dbf053da,Jadon-Sancho,https://fbref.com/en/players/dbf053da/Jadon-Sancho
Mason Mount,9674002f,Mason-Mount,https://fbref.com/en/players/9674002f/Mason-Mount
John Stones,5eecec3d,John-Stones,https://fbref.com/en/players/5eecec3d/John-Stones
Reece James,1265a93a,Reece-James,https://fbref.com/en/players/1265a93a/Reece-James
Declan Rice,1c7012b8,Declan-Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice
Martin Ødegaard,79300479,Martin-Odegaard,https://fbref.com/en/players/79300479/Martin-Odegaard
Bruno Fernandes,507c7bdf,Bruno-Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
Phil Foden,ed1e53f3,Phil-Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden
Virgil van Dijk,e06683ca,Virgil-van-Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
Rodri,6434f10d,Rodri,https://fbref.com/en/players/6434f10d/Rodri
Thomas Partey,529f49ab,Thomas-Partey,https://fbref.com/en/players/529f49ab/Thomas-Partey
Antony,99127249,Antony,https://fbref.com/en/players/99127249/Antony
Thiago Alcántara,77e84962,Thiago-Alcantara,https://fbref.com/en/players/77e84962/Thiago-Alcantara
Joško Gvardiol,5ad50391,Josko-Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol
Ben Chilwell,d2424d1b,Ben-Chilwell,https://fbref.com/en/players/d2424d1b/Ben-Chilwell
Wesley Fofana,132a82f1,Wesley-Fofana,https://fbref.com/en/players/132a82f1/Wesley-Fofana
Bukayo Saka,bc7dc64d,Bukayo-Saka,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Christopher Nkunku,7c56da38,Christopher-Nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku
William Saliba,972aeb2a,William-Saliba,https://fbref.com/en/players/972aeb2a/William-Saliba
Harry Maguire,d8931174,Harry-Maguire,https://fbref.com/en/players/d8931174/Harry-Maguire
Son Heung-min,92e7e919,Son-Heung-min,https://fbref.com/en/players/92e7e919/Son-Heung-min
Gabriel Martinelli,48a5a5d6,Gabriel-Martinelli,https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli
Ivan Perišić,6fe90922,Ivan-Perisic,https://fbref.com/en/players/6fe90922/Ivan-Perisic
Trent Alexander-Arnold,cd1acf9d,Trent-Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
Manuel Akanji,89ac64a6,Manuel-Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
Rúben Dias,31c69ef1,Ruben-Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias
Enzo Fernández,5ff4ab71,Enzo-Fernandez,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez
Kyle Walker,86dd77d1,Kyle-Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Marc Cucurella,1daec722,Marc-Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella
James Maddison,ee38d9c5,James-Maddison,https://fbref.com/en/players/ee38d9c5/James-Maddison
Cristian Romero,a3d94a58,Cristian-Romero,https://fbref.com/en/players/a3d94a58/Cristian-Romero
Bruno Guimarães,82518f62,Bruno-Guimaraes,https://fbref.com/en/players/82518f62/Bruno-Guimaraes
Nathan Aké,eaeca114,Nathan-Ake,https://fbref.com/en/players/eaeca114/Nathan-Ake
Ansu Fati,0ba976e4,Ansu-Fati,https://fbref.com/en/players/0ba976e4/Ansu-Fati
Oleksandr Zinchenko,51cf8561,Oleksandr-Zinchenko,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
Christian Eriksen,980522ec,Christian-Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen
Luke Shaw,9c94165b,Luke-Shaw,https://fbref.com/en/players/9c94165b/Luke-Shaw
