,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Arsenal,22,8.0,139,80,54,61,24,72,125,57.6,53,106,31,75,64,203,93,3
1,Aston Villa,23,8.0,127,73,58,57,12,63,131,48.1,68,88,22,66,55,182,114,1
2,Bournemouth,23,8.0,147,70,67,58,22,73,157,46.5,84,111,37,74,72,219,156,7
3,Brentford,24,8.0,140,91,75,51,14,62,146,42.5,84,96,24,72,71,211,181,4
4,Brighton,25,8.0,137,83,64,56,17,55,156,35.3,101,92,32,60,72,209,119,3
5,Burnley,24,8.0,124,71,55,42,27,62,126,49.2,64,92,42,50,55,179,158,6
6,Chelsea,22,8.0,133,77,54,50,29,54,112,48.2,58,86,31,55,51,184,136,2
7,Crystal Palace,19,8.0,160,83,76,53,31,66,122,54.1,56,90,35,55,65,225,201,1
8,Everton,23,8.0,162,97,76,55,31,71,136,52.2,65,112,27,85,63,225,123,3
9,Fulham,23,8.0,133,74,71,44,18,63,140,45.0,77,77,16,61,61,194,151,3
10,Liverpool,21,8.0,138,87,59,52,27,69,167,41.3,98,103,27,76,72,210,167,5
11,Luton Town,20,8.0,153,93,87,51,15,80,140,57.1,60,92,27,65,70,223,166,4
12,Manchester City,24,8.0,113,68,52,43,18,54,96,56.3,42,64,16,48,42,155,88,4
13,Manchester Utd,25,8.0,135,80,60,50,25,71,160,44.4,89,101,28,73,56,191,143,1
14,Newcastle Utd,20,8.0,123,77,57,51,15,55,135,40.7,80,94,30,64,42,165,112,3
15,Nott'ham Forest,25,8.0,147,86,92,41,14,65,124,52.4,59,92,39,53,74,221,211,2
16,Sheffield Utd,25,8.0,146,81,79,46,21,57,143,39.9,86,137,48,89,78,224,240,4
17,Tottenham,21,8.0,160,101,76,56,28,78,144,54.2,66,95,30,65,72,232,159,2
18,West Ham,19,8.0,146,96,80,49,17,68,136,50.0,68,121,49,72,89,235,228,1
19,Wolves,21,8.0,148,87,86,49,13,65,127,51.2,62,102,44,58,69,217,177,2
