,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Arsenal,2,23,23,2070,23.0,22,0.96,58,36,63.8,15,4,4,8,34.8,2,1,1,0,50.0
1,Aston Villa,2,23,23,2070,23.0,30,1.3,93,66,67.7,14,4,5,6,26.1,0,0,0,0,
2,Bournemouth,2,22,22,1980,22.6,41,1.86,114,73,66.7,7,6,9,5,22.7,4,3,1,0,25.0
3,Brentford,2,21,21,1890,21.0,36,1.71,90,54,61.1,6,4,11,3,14.3,1,1,0,0,0.0
4,Brighton,2,23,23,2070,23.0,38,1.65,97,61,66.0,9,8,6,2,8.7,5,5,0,0,0.0
5,Burnley,1,23,23,2070,23.0,47,2.04,136,91,67.6,3,4,16,2,8.7,3,3,0,0,0.0
6,Chelsea,2,23,23,2070,23.0,39,1.7,121,82,70.2,9,4,10,5,21.7,5,3,1,1,25.0
7,Crystal Palace,3,23,23,2070,23.0,40,1.74,96,57,61.5,6,6,11,5,21.7,3,3,0,0,0.0
8,Everton,1,23,23,2070,23.0,30,1.3,94,66,73.4,8,5,10,8,34.8,5,5,0,0,0.0
9,Fulham,1,23,23,2070,23.0,38,1.65,117,82,72.6,7,5,11,6,26.1,6,6,0,0,0.0
10,Liverpool,2,23,23,2070,23.0,22,0.96,79,58,73.4,15,6,2,8,34.8,1,1,0,0,0.0
11,Luton Town,1,22,22,1980,22.6,42,1.91,122,81,66.4,5,5,12,2,9.1,1,1,0,0,0.0
12,Manchester City,2,21,21,1890,21.0,24,1.14,62,39,64.5,14,4,3,5,23.8,2,2,0,0,0.0
13,Manchester Utd,1,23,23,2070,23.0,32,1.39,109,78,73.4,12,2,9,7,30.4,3,3,0,0,0.0
14,Newcastle Utd,2,23,23,2070,23.0,37,1.61,123,85,72.4,10,3,10,7,30.4,4,3,1,0,25.0
15,Nott'ham Forest,3,23,23,2070,23.0,41,1.78,103,62,63.1,5,6,12,3,13.0,3,3,0,0,0.0
16,Sheffield Utd,2,23,23,2070,23.0,59,2.57,153,97,62.7,2,4,17,1,4.3,3,2,0,1,0.0
17,Tottenham,1,23,23,2070,23.0,35,1.52,102,69,70.6,13,5,5,5,21.7,5,5,0,0,0.0
18,West Ham,2,23,23,2070,23.0,36,1.57,123,87,74.0,10,6,7,5,21.7,5,4,1,0,20.0
19,Wolves,2,23,23,2070,23.0,37,1.61,104,68,69.2,9,5,9,4,17.4,5,5,0,0,0.0
