,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Arsenal,2,8.0,6,0,0,1,0,5.1,0.35,-0.9,-0.12,35,81,43.2,270,43,25.9,28.7,25,44.0,39.0,61,8,13.1,13,1.63,17.4
1,Aston Villa,2,8.0,12,0,0,2,1,12.4,0.38,1.4,0.18,29,80,36.3,271,37,23.2,27.9,43,39.5,34.9,78,6,7.7,18,2.25,19.3
2,Bournemouth,1,8.0,18,2,1,1,1,19.0,0.33,2.0,0.25,37,123,30.1,208,38,41.8,36.0,68,52.9,43.7,85,5,5.9,5,0.63,11.6
3,Brentford,2,8.0,12,1,0,2,0,8.2,0.21,-3.8,-0.47,43,115,37.4,319,33,28.8,31.3,60,38.3,35.7,129,4,3.1,4,0.5,10.3
4,Brighton,2,8.0,16,2,0,1,1,12.6,0.31,-2.4,-0.3,24,57,42.1,338,30,16.9,26.1,26,0.0,10.2,81,5,6.2,10,1.25,15.0
5,Burnley,1,8.0,20,2,0,2,1,18.0,0.34,-1.0,-0.13,41,135,30.4,409,57,25.2,26.5,51,62.7,47.1,105,6,5.7,15,1.88,19.8
6,Chelsea,1,8.0,7,1,0,1,0,8.5,0.27,1.5,0.18,28,52,53.8,258,43,14.0,24.6,43,37.2,31.1,90,10,11.1,15,1.88,16.9
7,Crystal Palace,1,8.0,7,2,0,0,0,6.5,0.17,-0.5,-0.07,39,113,34.5,181,33,43.1,36.1,55,63.6,47.3,140,12,8.6,6,0.75,10.8
8,Everton,1,8.0,12,1,0,2,1,10.7,0.34,-0.3,-0.03,64,166,38.6,251,32,51.0,40.1,53,71.7,52.8,87,5,5.7,14,1.75,20.3
9,Fulham,1,8.0,13,3,0,1,1,14.7,0.27,2.7,0.34,37,83,44.6,324,46,21.0,28.0,29,51.7,42.1,97,4,4.1,7,0.88,13.8
10,Liverpool,1,8.0,9,0,0,1,1,9.3,0.25,1.3,0.16,23,73,31.5,302,45,17.9,26.2,43,44.2,39.2,101,5,5.0,10,1.25,17.6
11,Luton Town,1,8.0,15,1,0,2,0,14.8,0.38,-0.2,-0.03,69,200,34.5,213,35,66.7,45.1,72,80.6,55.2,114,5,4.4,7,0.88,14.2
12,Manchester City,1,8.0,6,0,0,1,1,4.9,0.32,-0.1,-0.02,38,89,42.7,304,28,23.7,30.6,39,43.6,41.2,54,6,11.1,7,0.88,16.2
13,Manchester Utd,1,8.0,12,0,0,1,1,10.0,0.26,-1.0,-0.12,23,83,27.7,273,29,27.5,30.3,29,27.6,30.3,99,4,4.0,8,1.0,19.1
14,Newcastle Utd,1,8.0,9,0,0,0,0,8.8,0.33,-0.2,-0.02,21,57,36.8,177,53,18.1,27.5,47,53.2,42.1,61,5,8.2,21,2.63,21.3
15,Nott'ham Forest,1,8.0,10,1,0,2,0,9.9,0.28,-0.1,-0.01,58,131,44.3,204,50,42.6,34.9,61,72.1,49.5,130,10,7.7,10,1.25,15.5
16,Sheffield Utd,1,8.0,22,0,0,3,1,22.3,0.35,1.3,0.16,59,155,38.1,215,46,49.3,37.4,77,63.6,47.5,150,4,2.7,10,1.25,16.5
17,Tottenham,1,8.0,8,2,0,0,1,9.4,0.22,2.4,0.3,17,75,22.7,279,43,24.0,27.5,43,18.6,23.0,96,7,7.3,16,2.0,19.4
18,West Ham,1,8.0,12,1,0,1,0,15.5,0.3,3.5,0.44,47,130,36.2,156,40,50.6,38.4,77,66.2,48.0,152,9,5.9,1,0.13,7.9
19,Wolves,1,8.0,14,1,1,0,1,16.2,0.32,3.2,0.4,28,109,25.7,218,55,34.4,35.2,66,51.5,42.0,149,21,14.1,9,1.13,11.8
