,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Arsenal,22,8.0,14,1,1,76,85,18,146,64,80,4,0,0,375,84,93,47.5
1,Aston Villa,23,8.0,22,0,0,95,103,6,138,55,73,2,0,1,383,54,68,44.3
2,Bournemouth,23,8.0,13,0,0,111,91,11,125,72,70,0,3,1,426,83,126,39.7
3,Brentford,24,8.0,18,0,0,87,88,13,137,71,91,2,1,0,421,139,133,51.1
4,Brighton,25,8.0,23,0,0,100,116,24,123,72,83,1,2,1,389,71,57,55.5
5,Burnley,24,8.0,17,2,0,86,81,20,104,55,71,0,2,1,407,95,121,44.0
6,Chelsea,22,8.0,26,1,0,88,94,25,159,51,77,2,1,0,424,104,68,60.5
7,Crystal Palace,19,8.0,11,0,0,86,96,8,124,65,83,0,2,0,433,116,108,51.8
8,Everton,23,8.0,13,0,0,93,80,16,177,63,97,0,1,1,453,141,117,54.7
9,Fulham,23,8.0,22,2,2,80,84,11,142,61,74,0,3,1,405,102,95,51.8
10,Liverpool,21,8.0,17,4,1,99,85,15,114,72,87,3,0,1,427,93,62,60.0
11,Luton Town,20,8.0,15,0,0,98,76,15,196,70,93,0,1,0,450,153,145,51.3
12,Manchester City,24,8.0,15,1,0,70,92,5,133,42,68,1,0,1,372,61,59,50.8
13,Manchester Utd,25,8.0,19,0,0,83,77,22,157,56,80,1,0,1,444,76,93,45.0
14,Newcastle Utd,20,8.0,21,0,0,97,102,9,113,42,77,2,0,0,405,92,81,53.2
15,Nott'ham Forest,25,8.0,25,2,1,88,75,18,108,74,86,0,1,0,382,136,122,52.7
16,Sheffield Utd,25,8.0,25,1,1,94,64,16,93,78,81,0,1,1,381,119,154,43.6
17,Tottenham,21,8.0,29,1,1,92,106,15,140,72,101,0,2,1,433,77,98,44.0
18,West Ham,19,8.0,21,1,1,85,84,19,111,89,96,1,2,0,377,125,132,48.6
19,Wolves,21,8.0,27,3,2,114,80,17,112,69,87,0,1,1,443,87,76,53.4
