,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Manchester City,4,4,0,0,11,2,9,12,3.0,8.6,2.7,6.0,1.49,W W W W,26450,Erling Haaland - 6,Ederson,
1,2,Tottenham,4,3,1,0,11,4,7,10,2.5,7.3,6.3,1.0,0.26,D W W W,61910,Son Heung-min - 3,Guglielmo Vicario,
2,3,Liverpool,4,3,1,0,9,3,6,10,2.5,7.6,5.3,2.4,0.59,D W W W,51627,"Mohamed Salah, Luis Díaz... - 2",Alisson,
3,4,West Ham,4,3,1,0,9,4,5,10,2.5,6.9,6.7,0.3,0.06,D W W W,62451,Jarrod Bowen - 3,Alphonse Areola,
4,5,Arsenal,4,3,1,0,8,4,4,10,2.5,8.3,3.7,4.6,1.15,W W D W,60046,"Martin Ødegaard, Eddie Nketiah... - 2",Aaron Ramsdale,
5,6,Brighton,4,3,0,1,12,6,6,9,2.25,9.0,7.8,1.2,0.29,W W L W,31667,Evan Ferguson - 4,"Jason Steele, Bart Verbruggen",
6,7,Crystal Palace,4,2,1,1,5,4,1,7,1.75,5.8,4.6,1.1,0.28,W L D W,24465,Odsonne Édouard - 3,Sam Johnstone,
7,8,Brentford,4,1,3,0,8,5,3,6,1.5,9.7,4.6,5.1,1.28,D W D D,17012,Bryan Mbeumo - 4,Mark Flekken,
8,9,Nott'ham Forest,4,2,0,2,6,6,0,6,1.5,4.5,6.4,-1.9,-0.47,L W L W,29432,Taiwo Awoniyi - 3,Matt Turner,
9,10,Aston Villa,4,2,0,2,8,9,-1,6,1.5,7.8,7.1,0.7,0.17,L W W L,41694,"Moussa Diaby, Matty Cash - 2",Emiliano Martínez,
10,11,Manchester Utd,4,2,0,2,5,7,-2,6,1.5,8.0,7.4,0.6,0.15,W L W L,73477,"Christian Eriksen, Bruno Fernandes... - 1",André Onana,
11,12,Chelsea,4,1,1,2,5,5,0,4,1.0,8.3,4.3,4.1,1.02,D L W L,39936,Raheem Sterling - 2,Robert Sánchez,
12,13,Fulham,4,1,1,2,4,10,-6,4,1.0,3.9,11.7,-7.8,-1.95,W L D L,24236,"Andreas Pereira, Tim Ream... - 1",Bernd Leno,
13,14,Newcastle Utd,4,1,0,3,7,7,0,3,0.75,6.9,4.9,1.9,0.48,W L L L,52211,"Callum Wilson, Alexander Isak - 2",Nick Pope,
14,15,Wolves,4,1,0,3,4,8,-4,3,0.75,6.5,7.8,-1.3,-0.33,L L W L,31317,Hwang Hee-chan - 2,José Sá,
15,16,Bournemouth,4,0,2,2,4,8,-4,2,0.5,5.3,9.1,-3.7,-0.93,D L L D,10906,Dominic Solanke - 2,Neto,
16,17,Sheffield Utd,4,0,1,3,4,7,-3,1,0.25,2.9,9.3,-6.4,-1.61,L L L D,31218,"Gustavo Hamer, Jayden Bogle... - 1",Wes Foderingham,
17,18,Everton,4,0,1,3,2,8,-6,1,0.25,7.2,6.7,0.5,0.12,L L L D,39396,"Abdoulaye Doucouré, Arnaut Danjuma - 1",Jordan Pickford,
18,19,Luton Town,3,0,0,3,2,9,-7,0,0.0,3.3,7.2,-3.9,-1.32,L L L,10802,"Carlton Morris, Mads Juel Andersen - 1",Thomas Kaminski,
19,20,Burnley,3,0,0,3,3,11,-8,0,0.0,2.4,6.7,-4.3,-1.43,L L L,21638,Lyle Foster - 2,James Trafford,
