,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Arsenal,22,60.5,8.0,5704,450,1555,2419,1771,272,5699,156,72,46.2,66,42.3,3734,18842,9667,173,121,54,97,83,4160,386
1,Aston Villa,23,49.1,8.0,4700,560,1627,2022,1087,222,4698,161,68,42.2,62,38.5,2847,15557,8161,148,91,48,110,70,3148,298
2,Bournemouth,23,44.0,8.0,4328,551,1514,1758,1119,203,4328,202,99,49.0,84,41.6,2404,14264,7548,142,99,40,123,94,2517,250
3,Brentford,24,49.0,8.0,4794,656,1918,1857,1064,228,4792,121,48,39.7,56,46.3,2657,13287,6991,111,67,38,115,61,3026,297
4,Brighton,25,60.1,8.0,5766,635,1840,2606,1366,249,5765,175,72,41.1,82,46.9,3765,19089,10248,187,114,60,121,70,4176,366
5,Burnley,24,48.8,8.0,4981,664,1908,2015,1099,151,4981,161,62,38.5,77,47.8,3070,14632,7532,135,95,42,98,57,3320,214
6,Chelsea,22,63.1,8.0,6183,583,1879,2770,1585,269,6181,177,80,45.2,68,38.4,4200,20027,10486,210,129,68,147,81,4552,374
7,Crystal Palace,19,44.8,8.0,4548,523,1544,1923,1135,168,4548,178,92,51.7,67,37.6,2529,12501,6585,118,84,33,142,109,2810,260
8,Everton,23,45.9,8.0,4536,433,1337,1938,1296,197,4536,129,61,47.3,57,44.2,2525,12880,6597,138,109,40,113,69,2712,254
9,Fulham,23,52.0,8.0,5134,501,1698,2298,1180,153,5134,98,47,48.0,44,44.9,3099,17145,8909,142,102,34,103,91,3521,308
10,Liverpool,21,52.6,8.0,5516,569,1764,2532,1274,232,5513,159,70,44.0,80,50.3,3402,15665,8378,162,105,49,110,71,3854,349
11,Luton Town,20,37.3,8.0,3821,485,1303,1440,1122,200,3819,130,51,39.2,66,50.8,1774,10375,5067,112,83,42,119,68,1919,240
12,Manchester City,24,64.4,8.0,6250,454,1499,3095,1691,232,6248,136,73,53.7,50,36.8,4188,22247,12761,216,171,54,91,58,4833,381
13,Manchester Utd,25,53.9,8.0,5389,510,1515,2305,1624,235,5388,159,77,48.4,62,39.0,3342,17032,9441,182,129,62,104,82,3695,414
14,Newcastle Utd,20,53.4,8.0,5291,459,1751,2408,1177,219,5289,140,74,52.9,42,30.0,3178,16143,7677,164,107,55,106,75,3724,309
15,Nott'ham Forest,25,38.6,8.0,4119,563,1555,1646,962,153,4119,135,60,44.4,62,45.9,2103,11161,5950,115,108,34,105,57,2399,213
16,Sheffield Utd,25,38.6,8.0,4066,636,1645,1640,813,139,4066,128,49,38.3,68,53.1,1839,8861,4157,58,55,23,105,84,2215,188
17,Tottenham,21,60.8,8.0,5919,626,1840,2382,1771,323,5919,211,96,45.5,92,43.6,3875,20980,10617,228,154,86,111,78,4205,457
18,West Ham,19,37.9,8.0,4108,627,1645,1664,837,176,4107,123,65,52.8,43,35.0,2159,12006,5528,113,82,40,118,66,2366,213
19,Wolves,21,45.4,8.0,4518,648,1785,1903,905,155,4518,194,104,53.6,75,38.7,2740,15941,8230,149,113,41,138,84,2810,226
