,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,20,4.0,8,63,23,36.5,15.75,5.75,0.1,0.26,15.9,0,2,2,8.3,6.7,0.11,-0.3,-0.7
1,Aston Villa,21,4.0,8,53,21,39.6,13.25,5.25,0.13,0.33,14.7,1,1,1,7.8,7.1,0.14,0.2,-0.1
2,Bournemouth,20,4.0,4,50,18,36.0,12.5,4.5,0.08,0.22,18.5,2,0,0,5.3,5.3,0.11,-1.3,-1.3
3,Brentford,21,4.0,8,59,20,33.9,14.75,5.0,0.1,0.3,14.8,2,2,2,9.7,8.3,0.14,-1.7,-2.3
4,Brighton,20,4.0,12,82,35,42.7,20.5,8.75,0.13,0.31,17.6,1,1,1,9.0,8.2,0.1,3.0,2.8
5,Burnley,21,3.0,3,31,7,22.6,10.33,2.33,0.1,0.43,17.3,1,0,0,2.4,2.4,0.08,0.6,0.6
6,Chelsea,19,4.0,5,66,17,25.8,16.5,4.25,0.08,0.29,15.9,4,0,1,8.3,7.5,0.12,-3.3,-2.5
7,Crystal Palace,16,4.0,5,69,25,36.2,17.25,6.25,0.07,0.2,16.6,4,0,0,5.8,5.8,0.08,-0.8,-0.8
8,Everton,21,4.0,2,59,24,40.7,14.75,6.0,0.03,0.08,14.8,2,0,0,7.2,7.2,0.14,-5.2,-5.2
9,Fulham,21,4.0,4,33,11,33.3,8.25,2.75,0.12,0.36,16.7,1,0,0,3.9,3.9,0.13,0.1,0.1
10,Liverpool,20,4.0,8,64,18,28.1,16.0,4.5,0.13,0.44,16.5,2,0,1,7.6,6.7,0.11,0.4,1.3
11,Luton Town,18,3.0,2,35,4,11.4,11.67,1.33,0.03,0.25,15.2,1,1,1,3.3,2.5,0.07,-1.3,-1.5
12,Manchester City,22,4.0,11,66,25,37.9,16.5,6.25,0.15,0.4,16.3,2,1,2,8.6,7.1,0.11,2.4,2.9
13,Manchester Utd,21,4.0,5,64,18,28.1,16.0,4.5,0.06,0.22,16.8,1,1,1,8.0,7.2,0.11,-3.0,-3.2
14,Newcastle Utd,19,4.0,7,56,23,41.1,14.0,5.75,0.13,0.3,16.4,1,0,0,6.9,6.9,0.12,0.1,0.1
15,Nott'ham Forest,19,4.0,6,38,13,34.2,9.5,3.25,0.16,0.46,16.3,0,0,0,4.5,4.5,0.12,1.5,1.5
16,Sheffield Utd,21,4.0,3,34,12,35.3,8.5,3.0,0.09,0.25,16.7,0,0,0,2.9,2.9,0.09,0.1,0.1
17,Tottenham,19,4.0,10,73,29,39.7,18.25,7.25,0.14,0.34,17.5,1,0,0,7.3,7.3,0.1,2.7,2.7
18,West Ham,18,4.0,9,48,17,35.4,12.0,4.25,0.17,0.47,16.0,0,1,1,6.9,6.1,0.13,2.1,1.9
19,Wolves,17,4.0,4,62,17,27.4,15.5,4.25,0.06,0.24,16.1,1,0,0,6.5,6.5,0.11,-2.5,-2.5
