Team,unique_team_id,extension,Link,fpl_team_id,fpl_team
Manchester City,b8fd03ef,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats,13,Man City
Tottenham,361ca564,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats,18,Spurs
Liverpool,822bd0ba,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats,11,Liverpool
Arsenal,18bb7c10,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats,1,Arsenal
Brighton,d07537b9,Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,5,Brighton
West Ham,7c21e445,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats,19,West Ham
Aston Villa,8602292d,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats,2,Aston Villa
Nott'm Forest,e4a775cb,Nottingham-Forest-Stats,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats,16,Nott'm Forest
Crystal Palace,47c64c55,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats,8,Crystal Palace
Fulham,fd962109,Fulham-Stats,https://fbref.com/en/squads/fd962109/Fulham-Stats,10,Fulham
Brentford,cd051869,Brentford-Stats,https://fbref.com/en/squads/cd051869/Brentford-Stats,4,Brentford
Newcastle Utd,b2b47a98,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats,15,Newcastle
Manchester Utd,19538871,Manchester-United-Stats,https://fbref.com/en/squads/19538871/Manchester-United-Stats,14,Man Utd
Chelsea,cff3d9bb,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats,7,Chelsea
Bournemouth,4ba7cbea,Bournemouth-Stats,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats,3,Bournemouth
Wolves,8cec06e1,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,20,Wolves
Sheffield Utd,1df6b87e,Sheffield-United-Stats,https://fbref.com/en/squads/1df6b87e/Sheffield-United-Stats,17,Sheffield Utd
Everton,d3fd31cc,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/Everton-Stats,9,Everton
Burnley,943e8050,Burnley-Stats,https://fbref.com/en/squads/943e8050/Burnley-Stats,6,Burnley
Luton Town,e297cd13,Luton-Town-Stats,https://fbref.com/en/squads/e297cd13/Luton-Town-Stats,12,Luton
